region,state,climate_zone,primary_season,monsoon_intensity,rainfall_min_mm,rainfall_max_mm,temp_min_c,temp_max_c,humidity_min_pct,humidity_max_pct,soil_type,ph_min,ph_max,irrigation,altitude_m,wind_risk,drought_risk,flood_risk,recommended_crop
Indore,Madhya Pradesh,Central Highlands,Kharif,Medium,700,1000,24,33,50,75,Black Clay,6.5,7.5,Rainfed,550,Medium,Low,Low,Soybean
Indore,Madhya Pradesh,Central Highlands,Rabi,Medium,400,650,12,24,40,65,Black Clay,6.4,7.6,Limited,550,Low,Low,Low,Wheat
Indore,Madhya Pradesh,Central Highlands,Kharif,Medium,700,1000,24,33,50,75,Black Clay,6.5,7.5,Rainfed,550,Medium,Low,Low,Cotton
Ujjain,Madhya Pradesh,Semi-Arid,Rabi,Low,300,500,14,26,35,60,Sandy Loam,6.3,7.4,Limited,520,Low,High,Low,Gram
Bhopal,Madhya Pradesh,Central Highlands,Kharif,Medium,650,950,24,32,50,75,Black Clay,6.4,7.4,Rainfed,500,Medium,Low,Low,Lentil
Jabalpur,Madhya Pradesh,Central Highlands,Kharif,High,750,1100,24,33,60,80,Black Clay,6.5,7.5,Rainfed,400,Low,Low,Medium,Rice
Ludhiana,Punjab,Indo-Gangetic Plains,Rabi,Low,200,350,8,20,35,60,Loamy,6.5,7.5,Assured,220,Low,Low,Low,Wheat
Ludhiana,Punjab,Indo-Gangetic Plains,Kharif,High,500,800,24,34,55,80,Loamy,6.4,7.4,Assured,220,Medium,Low,Medium,Rice
Amritsar,Punjab,Indo-Gangetic Plains,Rabi,Low,150,300,6,18,30,55,Loamy,6.5,7.5,Assured,200,Medium,High,Low,Wheat
Amritsar,Punjab,Indo-Gangetic Plains,Kharif,Medium,400,700,22,32,50,75,Loamy,6.4,7.4,Assured,200,Medium,Low,Low,Corn
Jaipur,Rajasthan,Semi-Arid,Rabi,Low,300,500,14,26,30,55,Sandy Loam,7.0,8.0,Limited,430,High,High,Low,Gram
Jaipur,Rajasthan,Arid,Summer,Sparse,100,200,30,42,20,40,Sandy,7.3,8.3,Limited,430,High,High,Low,Bajra
Jodhpur,Rajasthan,Arid,Monsoon,Sparse,200,400,28,40,25,50,Sandy,7.2,8.2,Limited,250,High,High,Low,Bajra
Udaipur,Rajasthan,Semi-Arid,Kharif,Medium,500,800,24,33,45,70,Sandy Loam,6.8,7.8,Limited,550,Medium,Medium,Low,Cotton
Udaipur,Rajasthan,Semi-Arid,Rabi,Low,250,450,16,28,35,60,Sandy Loam,6.7,7.7,Limited,550,Low,High,Low,Gram
Vadodara,Gujarat,Semi-Arid,Kharif,Medium,600,900,26,34,45,70,Sandy Loam,6.8,7.8,Supplemental,110,Medium,Low,Low,Cotton
Vadodara,Gujarat,Semi-Arid,Rabi,Low,250,450,18,30,35,60,Sandy Loam,6.7,7.7,Limited,110,Low,Medium,Low,Gram
Ahmedabad,Gujarat,Semi-Arid,Kharif,Medium,400,700,26,35,40,65,Sandy,6.9,7.9,Supplemental,50,Medium,Medium,Low,Groundnut
Ahmedabad,Gujarat,Semi-Arid,Rabi,Low,200,400,16,28,30,55,Sandy Loam,6.8,7.8,Limited,50,Medium,High,Low,Mustard
Rajkot,Gujarat,Semi-Arid,Kharif,Low,300,600,26,36,35,60,Sandy,7.0,8.0,Limited,130,High,High,Low,Bajra
Surat,Gujarat,Coastal Humid,Kharif,Very High,1000,1500,26,33,70,90,Clay,6.5,7.5,Assured,20,Low,Low,High,Rice
Nagpur,Maharashtra,Deccan Plateau,Kharif,Medium,700,1100,24,33,55,80,Black Clay,6.5,7.8,Rainfed,310,Low,Medium,Low,Cotton
Nagpur,Maharashtra,Deccan Plateau,Rabi,Low,300,500,16,28,35,60,Black Clay,6.4,7.7,Limited,310,Medium,High,Low,Gram
Amravati,Maharashtra,Deccan Plateau,Kharif,Medium,700,1000,23,32,55,75,Black Clay,6.5,7.8,Rainfed,350,Low,Medium,Low,Cotton
Amravati,Maharashtra,Deccan Plateau,Rabi,Low,300,500,17,28,35,65,Black Clay,6.4,7.7,Limited,350,Low,High,Low,Chickpea
Sangli,Maharashtra,Semi-Arid,Rabi,Low,400,650,16,28,40,65,Red Loam,6.2,7.0,Supplemental,700,Low,Medium,Low,Sugarcane
Satara,Maharashtra,Semi-Arid,Annual,Medium,700,1000,18,28,50,75,Red Loam,6.3,7.1,Supplemental,640,Low,Low,Low,Grapes
